address	Time(s)	ax(g)	ay(g)	az(g)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(°)	hx	hy	hz	q0	q1	q2	q3 
0x50	13:28:09.523	-0.0381	0.0244	0.9785	-5.4932	16.4795	-7.9346	0.6812	2.8235	-149.6008	0.0000	0	0	0	0.00000	0.00000	0.00000	0.00000 
0x50	13:28:09.523	-0.0488	0.0151	0.9863	-5.0049	16.2354	-7.5684	0.6537	2.9059	-149.6393	0.0000	0	0	0	0.00000	0.00000	0.00000	0.00000 
0x50	13:28:09.523	-0.0576	0.0029	0.9956	-4.3945	15.9302	-6.9580	0.6262	2.9883	-149.6722	0.0000	0	0	0	0.00000	0.00000	0.00000	0.00000 
0x50	13:28:09.538	-0.0654	-0.0054	1.0020	-3.9063	15.4419	-6.2866	0.6042	3.0652	-149.7052	0.0000	0	0	0	0.00000	0.00000	0.00000	0.00000 
0x50	13:28:09.538	-0.0776	-0.0083	1.0020	-3.3569	14.5874	-5.5542	0.5878	3.1421	-149.7327	0.0000	0	0	0	0.00000	0.00000	0.00000	0.00000 
0x50	13:28:09.538	-0.0928	-0.0132	1.0063	-2.8076	13.5498	-4.6997	0.5713	3.2135	-149.7601	0.0000	0	0	0	0.00000	0.00000	0.00000	0.00000 
0x50	13:28:09.538	-0.1001	-0.0205	1.0073	-1.8921	12.1460	-3.8452	0.5603	3.2794	-149.7821	0.0000	0	0	0	0.00000	0.00000	0.00000	0.00000 
0x50	13:28:09.538	-0.0986	-0.0249	1.0068	-1.3428	10.9253	-3.0518	0.5493	3.3344	-149.7986	0.0000	0	0	0	0.00000	0.00000	0.00000	0.00000 
0x50	13:28:09.538	-0.0986	-0.0234	1.0117	-0.8545	9.8267	-2.3804	0.5438	3.3838	-149.8096	0.0000	0	0	0	0.00000	0.00000	0.00000	0.00000 
0x50	13:28:09.538	-0.1035	-0.0190	1.0073	-0.2441	8.7891	-1.7090	0.5438	3.4332	-149.8206	0.0000	0	0	0	0.00000	0.00000	0.00000	0.00000 
0x50	13:28:09.538	-0.0991	-0.0161	1.0044	0.1831	7.7515	-1.4038	0.5438	3.4717	-149.8260	0.0000	0	0	0	0.00000	0.00000	0.00000	0.00000 
0x50	13:28:09.540	-0.0913	-0.0151	1.0044	0.4883	6.8970	-1.0986	0.5438	3.5101	-149.8370	0.0000	0	0	0	0.00000	0.00000	0.00000	0.00000 
