address	Time(s)	ax(g)	ay(g)	az(g)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(°)	hx	hy	hz	q0	q1	q2	q3 
0x50	18:29:05.199	-0.1436	0.0830	0.9795	-1.5869	0.0000	0.1831	5.2954	8.7067	39.1992	0.0000	0	0	0	0.00000	0.00000	0.00000	0.00000 
0x50	18:29:05.199	-0.1426	0.0835	0.9800	-1.5869	0.1221	0.1831	5.2844	8.7067	39.1992	0.0000	0	0	0	0.00000	0.00000	0.00000	0.00000 
0x50	18:29:05.199	-0.1436	0.0835	0.9800	-1.6479	0.2441	0.3662	5.2734	8.7067	39.1992	0.0000	0	0	0	0.00000	0.00000	0.00000	0.00000 
0x50	18:29:05.199	-0.1455	0.0806	0.9800	-1.6479	0.2441	0.6104	5.2679	8.7067	39.2047	0.0000	0	0	0	0.00000	0.00000	0.00000	0.00000 
0x50	18:29:05.199	-0.1470	0.0796	0.9795	-1.5869	0.1831	1.2207	5.2625	8.7067	39.1827	0.0000	0	0	0	0.00000	0.00000	0.00000	0.00000 
0x50	18:29:05.199	-0.1484	0.0796	0.9790	-1.5869	0.1831	1.5259	5.2515	8.7067	39.1882	0.0000	0	0	0	0.00000	0.00000	0.00000	0.00000 
0x50	18:29:05.199	-0.1465	0.0806	0.9805	-1.5869	0.2441	2.1973	5.2460	8.7067	39.1992	0.0000	0	0	0	0.00000	0.00000	0.00000	0.00000 
0x50	18:29:05.199	-0.1411	0.0835	0.9814	-1.5259	0.2441	2.3804	5.2405	8.7067	39.2102	0.0000	0	0	0	0.00000	0.00000	0.00000	0.00000 
0x50	18:29:05.223	-0.1406	0.0835	0.9814	-1.4648	0.3662	2.1973	5.2350	8.7122	39.1937	0.0000	0	0	0	0.00000	0.00000	0.00000	0.00000 
0x50	18:29:05.223	-0.1470	0.0776	0.9819	-1.4648	0.4272	2.7466	5.2240	8.7122	39.2047	0.0000	0	0	0	0.00000	0.00000	0.00000	0.00000 
