address	Time(s)	ax(g)	ay(g)	az(g)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(°)	hx	hy	hz	q0	q1	q2	q3 
0x50	13:22:27.057	0.0439	0.0459	1.0459	-18.6157	-34.4849	30.5176	1.1975	2.7631	-163.1085	0.0000	0	0	0	0.00000	0.00000	0.00000	0.00000 
0x50	13:22:27.061	0.0337	0.0415	1.0488	-19.8364	-31.6162	26.2451	1.1041	2.5983	-162.9712	0.0000	0	0	0	0.00000	0.00000	0.00000	0.00000 
0x50	13:22:27.084	0.0088	0.0171	1.0674	-17.0898	-29.6631	24.7192	1.0162	2.4390	-162.8503	0.0000	0	0	0	0.00000	0.00000	0.00000	0.00000 
0x50	13:22:27.084	-0.0176	0.0063	1.0649	-15.3198	-28.3203	23.5596	0.9448	2.2961	-162.7295	0.0000	0	0	0	0.00000	0.00000	0.00000	0.00000 
0x50	13:22:27.099	-0.0386	0.0078	1.0659	-16.7236	-26.9775	20.9961	0.8679	2.1533	-162.6251	0.0000	0	0	0	0.00000	0.00000	0.00000	0.00000 
0x50	13:22:27.099	-0.0542	0.0044	1.0752	-17.8833	-25.8179	19.5923	0.7800	2.0215	-162.5262	0.0000	0	0	0	0.00000	0.00000	0.00000	0.00000 
0x50	13:22:27.099	-0.0688	0.0063	1.0728	-16.4185	-24.8413	17.6392	0.6976	1.8951	-162.4329	0.0000	0	0	0	0.00000	0.00000	0.00000	0.00000 
0x50	13:22:27.099	-0.0791	0.0107	1.0669	-14.7705	-24.2310	15.3198	0.6262	1.7743	-162.3560	0.0000	0	0	0	0.00000	0.00000	0.00000	0.00000 
0x50	13:22:27.099	-0.0752	0.0098	1.0605	-15.5029	-21.7896	13.7939	0.5493	1.6534	-162.2845	0.0000	0	0	0	0.00000	0.00000	0.00000	0.00000 
0x50	13:22:27.099	-0.0845	0.0107	1.0444	-13.9771	-20.2026	11.5356	0.4779	1.5491	-162.2186	0.0000	0	0	0	0.00000	0.00000	0.00000	0.00000 
0x50	13:22:27.106	-0.0903	0.0063	1.0347	-12.8784	-19.2871	11.4136	0.4120	1.4557	-162.1637	0.0000	0	0	0	0.00000	0.00000	0.00000	0.00000 
0x50	13:22:27.106	-0.0981	0.0112	1.0205	-12.2681	-18.9819	10.0098	0.3516	1.3568	-162.1143	0.0000	0	0	0	0.00000	0.00000	0.00000	0.00000 
