address	Time(s)	ax(g)	ay(g)	az(g)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(°)	hx	hy	hz	q0	q1	q2	q3 
0x50	13:32:46.865	-0.1152	-0.0439	1.0244	4.0283	-1.2207	6.2866	-1.8512	3.7463	-157.7582	0.0000	0	0	0	0.00000	0.00000	0.00000	0.00000 
0x50	13:32:46.865	-0.0850	-0.0474	1.0220	4.8218	-0.9155	6.5308	-1.8292	3.7408	-157.7307	0.0000	0	0	0	0.00000	0.00000	0.00000	0.00000 
0x50	13:32:46.865	-0.0815	-0.0254	1.0088	4.5776	-1.0376	6.7749	-1.8018	3.7408	-157.6978	0.0000	0	0	0	0.00000	0.00000	0.00000	0.00000 
0x50	13:32:46.865	-0.0762	-0.0161	1.0166	3.6621	-1.0376	6.4697	-1.7798	3.7354	-157.6648	0.0000	0	0	0	0.00000	0.00000	0.00000	0.00000 
0x50	13:32:46.865	-0.0610	-0.0103	1.0049	2.8076	-0.1831	6.7749	-1.7633	3.7354	-157.6318	0.0000	0	0	0	0.00000	0.00000	0.00000	0.00000 
0x50	13:32:46.865	-0.0659	-0.0044	1.0000	1.8921	-0.0610	6.1646	-1.7468	3.7354	-157.5989	0.0000	0	0	0	0.00000	0.00000	0.00000	0.00000 
0x50	13:32:46.870	-0.0645	-0.0015	0.9912	0.6714	0.0610	6.0425	-1.7413	3.7354	-157.5714	0.0000	0	0	0	0.00000	0.00000	0.00000	0.00000 
0x50	13:32:46.870	-0.0703	-0.0010	0.9932	-0.3052	0.3052	5.6763	-1.7358	3.7354	-157.5439	0.0000	0	0	0	0.00000	0.00000	0.00000	0.00000 
0x50	13:32:46.870	-0.0737	-0.0024	0.9966	-1.0986	0.6714	5.6152	-1.7413	3.7408	-157.5165	0.0000	0	0	0	0.00000	0.00000	0.00000	0.00000 
0x50	13:32:46.870	-0.0791	-0.0010	0.9966	-1.8921	0.7324	5.3101	-1.7468	3.7463	-157.4890	0.0000	0	0	0	0.00000	0.00000	0.00000	0.00000 
0x50	13:32:46.870	-0.0830	-0.0083	0.9917	-2.3193	0.7324	4.8218	-1.7578	3.7518	-157.4670	0.0000	0	0	0	0.00000	0.00000	0.00000	0.00000 
0x50	13:32:46.870	-0.0820	-0.0103	0.9893	-2.7466	0.4272	4.4556	-1.7688	3.7518	-157.4451	0.0000	0	0	0	0.00000	0.00000	0.00000	0.00000 
0x50	13:32:46.871	-0.0820	-0.0093	0.9868	-3.4180	0.1221	4.0894	-1.7798	3.7573	-157.4231	0.0000	0	0	0	0.00000	0.00000	0.00000	0.00000 
0x50	13:32:46.871	-0.0771	-0.0127	0.9980	-4.0283	-0.1221	3.6011	-1.8018	3.7573	-157.4066	0.0000	0	0	0	0.00000	0.00000	0.00000	0.00000 
0x50	13:32:46.871	-0.0757	-0.0186	1.0107	-4.3945	-0.3052	2.8076	-1.8182	3.7573	-157.3956	0.0000	0	0	0	0.00000	0.00000	0.00000	0.00000 
0x50	13:32:46.871	-0.0713	-0.0273	1.0215	-4.3945	-0.4272	2.2583	-1.8402	3.7518	-157.3846	0.0000	0	0	0	0.00000	0.00000	0.00000	0.00000 
0x50	13:32:46.871	-0.0630	-0.0322	1.0249	-3.9673	-0.3662	1.7700	-1.8622	3.7518	-157.3737	0.0000	0	0	0	0.00000	0.00000	0.00000	0.00000 
0x50	13:32:46.871	-0.0581	-0.0278	1.0244	-3.7842	-0.2441	1.2207	-1.8787	3.7518	-157.3682	0.0000	0	0	0	0.00000	0.00000	0.00000	0.00000 
0x50	13:32:46.872	-0.0518	-0.0283	1.0264	-3.4180	-0.0610	0.6714	-1.9006	3.7518	-157.3682	0.0000	0	0	0	0.00000	0.00000	0.00000	0.00000 
0x50	13:32:46.872	-0.0532	-0.0303	1.0186	-3.1128	-0.0610	0.2441	-1.9171	3.7518	-157.3627	0.0000	0	0	0	0.00000	0.00000	0.00000	0.00000 
0x50	13:32:46.872	-0.0547	-0.0303	1.0176	-2.9297	-0.0610	0.0000	-1.9336	3.7518	-157.3627	0.0000	0	0	0	0.00000	0.00000	0.00000	0.00000 
0x50	13:32:46.872	-0.0581	-0.0337	1.0190	-2.3193	0.0000	-0.2441	-1.9446	3.7518	-157.3682	0.0000	0	0	0	0.00000	0.00000	0.00000	0.00000 
0x50	13:32:46.872	-0.0610	-0.0352	1.0137	-1.5869	0.0610	-0.6104	-1.9556	3.7518	-157.3737	0.0000	0	0	0	0.00000	0.00000	0.00000	0.00000 
0x50	13:32:46.880	-0.0620	-0.0322	1.0063	-1.2817	0.0000	-0.9155	-1.9611	3.7518	-157.3792	0.0000	0	0	0	0.00000	0.00000	0.00000	0.00000 
0x50	13:32:46.880	-0.0649	-0.0327	1.0020	-0.9155	0.0000	-0.9155	-1.9666	3.7518	-157.3792	0.0000	0	0	0	0.00000	0.00000	0.00000	0.00000 
0x50	13:32:46.880	-0.0728	-0.0308	1.0034	-0.7324	-0.3052	-0.8545	-1.9720	3.7463	-157.3846	0.0000	0	0	0	0.00000	0.00000	0.00000	0.00000 
0x50	13:32:46.880	-0.0718	-0.0322	1.0127	-0.3662	-0.3052	-1.0986	-1.9775	3.7463	-157.3956	0.0000	0	0	0	0.00000	0.00000	0.00000	0.00000 
0x50	13:32:46.882	-0.0693	-0.0337	1.0127	0.0000	-0.3662	-1.2817	-1.9775	3.7463	-157.4011	0.0000	0	0	0	0.00000	0.00000	0.00000	0.00000 
0x50	13:32:46.882	-0.0605	-0.0361	1.0088	0.3662	-0.1221	-1.5259	-1.9775	3.7408	-157.4121	0.0000	0	0	0	0.00000	0.00000	0.00000	0.00000 
0x50	13:32:46.882	-0.0552	-0.0332	1.0034	0.9766	0.0000	-1.4038	-1.9720	3.7408	-157.4176	0.0000	0	0	0	0.00000	0.00000	0.00000	0.00000 
0x50	13:32:46.882	-0.0571	-0.0264	1.0000	1.1597	0.1221	-1.4038	-1.9720	3.7408	-157.4286	0.0000	0	0	0	0.00000	0.00000	0.00000	0.00000 
0x50	13:32:47.046	-0.0610	-0.0210	1.0034	1.2207	0.3662	-1.5259	-1.9666	3.7463	-157.4396	0.0000	0	0	0	0.00000	0.00000	0.00000	0.00000 
0x50	13:32:47.046	-0.0635	-0.0195	1.0054	0.9766	0.3052	-1.8921	-1.9611	3.7463	-157.4451	0.0000	0	0	0	0.00000	0.00000	0.00000	0.00000 
0x50	13:32:47.046	-0.0635	-0.0215	1.0063	0.7324	0.3662	-2.3804	-1.9556	3.7463	-157.4561	0.0000	0	0	0	0.00000	0.00000	0.00000	0.00000 
0x50	13:32:47.046	-0.0630	-0.0249	1.0044	0.8545	0.4272	-2.4414	-1.9501	3.7463	-157.4780	0.0000	0	0	0	0.00000	0.00000	0.00000	0.00000 
0x50	13:32:47.046	-0.0630	-0.0234	1.0005	0.8545	0.4883	-2.4414	-1.9501	3.7518	-157.4890	0.0000	0	0	0	0.00000	0.00000	0.00000	0.00000 
0x50	13:32:47.046	-0.0669	-0.0220	0.9966	0.9155	0.6104	-2.5635	-1.9446	3.7518	-157.5000	0.0000	0	0	0	0.00000	0.00000	0.00000	0.00000 
0x50	13:32:47.046	-0.0718	-0.0181	0.9941	0.8545	0.6104	-2.6855	-1.9391	3.7573	-157.5165	0.0000	0	0	0	0.00000	0.00000	0.00000	0.00000 
0x50	13:32:47.046	-0.0732	-0.0166	0.9937	0.6104	0.5493	-2.9297	-1.9391	3.7573	-157.5330	0.0000	0	0	0	0.00000	0.00000	0.00000	0.00000 
0x50	13:32:47.046	-0.0732	-0.0195	0.9917	0.3662	0.3052	-3.1128	-1.9391	3.7628	-157.5494	0.0000	0	0	0	0.00000	0.00000	0.00000	0.00000 
0x50	13:32:47.046	-0.0713	-0.0234	0.9927	0.1221	0.1221	-3.2349	-1.9391	3.7628	-157.5659	0.0000	0	0	0	0.00000	0.00000	0.00000	0.00000 
