address	Time(s)	ax(g)	ay(g)	az(g)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(°)	hx	hy	hz	q0	q1	q2	q3 
0x50	13:45:44.713	-0.0439	0.0020	0.9917	0.1831	-0.0610	-0.3052	0.2527	2.5433	-165.8771	0.0000	0	0	0	0.00000	0.00000	0.00000	0.00000 
0x50	13:45:44.713	-0.0444	0.0054	0.9912	0.1831	0.0000	-0.1831	0.2527	2.5433	-165.8771	0.0000	0	0	0	0.00000	0.00000	0.00000	0.00000 
0x50	13:45:44.713	-0.0449	0.0078	0.9937	0.1831	0.0000	-0.3052	0.2527	2.5433	-165.8771	0.0000	0	0	0	0.00000	0.00000	0.00000	0.00000 
0x50	13:45:44.717	-0.0439	0.0073	0.9951	0.1221	0.0000	-0.4272	0.2527	2.5433	-165.8771	0.0000	0	0	0	0.00000	0.00000	0.00000	0.00000 
0x50	13:45:44.717	-0.0430	0.0073	0.9937	0.1831	0.0000	-0.4883	0.2527	2.5433	-165.8771	0.0000	0	0	0	0.00000	0.00000	0.00000	0.00000 
0x50	13:45:44.717	-0.0337	0.0127	0.9956	0.3662	-0.0610	-0.9766	0.2527	2.5433	-165.8771	0.0000	0	0	0	0.00000	0.00000	0.00000	0.00000 
0x50	13:45:44.718	-0.0322	0.0107	0.9976	-0.3052	0.3052	-1.4038	0.2527	2.5433	-165.8771	0.0000	0	0	0	0.00000	0.00000	0.00000	0.00000 
0x50	13:45:44.718	-0.0537	0.0044	0.9985	0.0000	0.0000	-1.2817	0.2527	2.5433	-165.8771	0.0000	0	0	0	0.00000	0.00000	0.00000	0.00000 
0x50	13:45:44.718	-0.0605	0.0000	0.9971	0.0610	-0.2441	-0.7324	0.2527	2.5433	-165.8771	0.0000	0	0	0	0.00000	0.00000	0.00000	0.00000 
0x50	13:45:44.718	-0.0444	0.0010	0.9922	0.2441	-0.3662	-0.3052	0.2527	2.5433	-165.8771	0.0000	0	0	0	0.00000	0.00000	0.00000	0.00000 
0x50	13:45:44.718	-0.0439	0.0044	0.9917	0.1831	-0.2441	-0.4883	0.2527	2.5433	-165.8771	0.0000	0	0	0	0.00000	0.00000	0.00000	0.00000 
0x50	13:45:44.718	-0.0410	0.0029	0.9932	0.0000	-0.0610	-0.6104	0.2527	2.5433	-165.8771	0.0000	0	0	0	0.00000	0.00000	0.00000	0.00000 
0x50	13:45:44.718	-0.0396	-0.0020	0.9941	0.0610	0.0610	-0.4272	0.2527	2.5433	-165.8771	0.0000	0	0	0	0.00000	0.00000	0.00000	0.00000 
0x50	13:45:44.718	-0.0356	-0.0029	0.9922	0.1221	0.1831	-0.2441	0.2527	2.5433	-165.8771	0.0000	0	0	0	0.00000	0.00000	0.00000	0.00000 
0x50	13:45:44.718	-0.0313	-0.0015	0.9966	0.2441	0.2441	-0.0610	0.2527	2.5433	-165.8771	0.0000	0	0	0	0.00000	0.00000	0.00000	0.00000 
0x50	13:45:44.741	-0.0410	0.0044	0.9907	0.1831	0.2441	-0.2441	0.2527	2.5433	-165.8771	0.0000	0	0	0	0.00000	0.00000	0.00000	0.00000 
0x50	13:45:44.741	-0.0449	0.0054	0.9932	0.1221	0.2441	-0.3052	0.2527	2.5433	-165.8771	0.0000	0	0	0	0.00000	0.00000	0.00000	0.00000 
0x50	13:45:44.741	-0.0562	0.0073	0.9878	0.4883	-0.0610	-0.1831	0.2527	2.5433	-165.8826	0.0000	0	0	0	0.00000	0.00000	0.00000	0.00000 
0x50	13:45:44.744	-0.0469	0.0107	0.9839	0.3662	-0.2441	-0.2441	0.2527	2.5433	-165.8826	0.0000	0	0	0	0.00000	0.00000	0.00000	0.00000 
0x50	13:45:44.744	-0.0459	0.0088	0.9814	0.4883	-0.2441	-0.3052	0.2527	2.5433	-165.8826	0.0000	0	0	0	0.00000	0.00000	0.00000	0.00000 
0x50	13:45:44.744	-0.0444	0.0098	0.9819	0.4272	-0.3052	-0.4883	0.2527	2.5433	-165.8826	0.0000	0	0	0	0.00000	0.00000	0.00000	0.00000 
0x50	13:45:44.744	-0.0444	0.0093	0.9849	0.3662	-0.4272	-0.6714	0.2527	2.5433	-165.8826	0.0000	0	0	0	0.00000	0.00000	0.00000	0.00000 
0x50	13:45:44.744	-0.0469	0.0078	0.9888	0.4272	-0.4883	-0.6104	0.2527	2.5433	-165.8826	0.0000	0	0	0	0.00000	0.00000	0.00000	0.00000 
0x50	13:45:44.888	-0.0479	0.0054	0.9941	0.4883	-0.5493	-0.6714	0.2527	2.5433	-165.8826	0.0000	0	0	0	0.00000	0.00000	0.00000	0.00000 
0x50	13:45:44.888	-0.0474	0.0029	0.9976	0.4883	-0.6104	-0.6104	0.2527	2.5433	-165.8826	0.0000	0	0	0	0.00000	0.00000	0.00000	0.00000 
0x50	13:45:44.898	-0.0469	0.0000	1.0005	0.5493	-0.5493	-0.4272	0.2527	2.5433	-165.8826	0.0000	0	0	0	0.00000	0.00000	0.00000	0.00000 
0x50	13:45:44.907	-0.0444	0.0005	1.0015	0.7324	-0.6104	-0.1831	0.2527	2.5433	-165.8826	0.0000	0	0	0	0.00000	0.00000	0.00000	0.00000 
0x50	13:45:44.908	-0.0391	0.0034	1.0005	0.7324	-0.5493	-0.1221	0.2527	2.5433	-165.8826	0.0000	0	0	0	0.00000	0.00000	0.00000	0.00000 
0x50	13:45:44.908	-0.0396	0.0054	0.9995	0.6714	-0.3662	-0.1221	0.2527	2.5433	-165.8826	0.0000	0	0	0	0.00000	0.00000	0.00000	0.00000 
0x50	13:45:44.909	-0.0396	0.0073	0.9980	0.7324	-0.2441	-0.1831	0.2527	2.5433	-165.8826	0.0000	0	0	0	0.00000	0.00000	0.00000	0.00000 
0x50	13:45:44.909	-0.0400	0.0088	0.9980	0.6714	-0.1221	-0.1221	0.2527	2.5433	-165.8826	0.0000	0	0	0	0.00000	0.00000	0.00000	0.00000 
0x50	13:45:44.909	-0.0381	0.0122	0.9966	0.6104	-0.1221	-0.1831	0.2527	2.5433	-165.8826	0.0000	0	0	0	0.00000	0.00000	0.00000	0.00000 
0x50	13:45:44.909	-0.0337	0.0156	0.9937	0.6104	0.0000	-0.4272	0.2527	2.5433	-165.8826	0.0000	0	0	0	0.00000	0.00000	0.00000	0.00000 
0x50	13:45:44.909	-0.0303	0.0171	0.9897	0.4272	0.0610	-0.6714	0.2527	2.5433	-165.8826	0.0000	0	0	0	0.00000	0.00000	0.00000	0.00000 
0x50	13:45:44.909	-0.0293	0.0171	0.9863	0.3662	0.1831	-0.9766	0.2527	2.5433	-165.8826	0.0000	0	0	0	0.00000	0.00000	0.00000	0.00000 
