address	Time(s)	ax(g)	ay(g)	az(g)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(°)	hx	hy	hz	q0	q1	q2	q3 
0x50	13:44:06.683	-0.1611	0.0059	0.9810	-0.9155	13.7939	-2.6855	0.1758	8.3221	-163.6798	0.0000	0	0	0	0.00000	0.00000	0.00000	0.00000 
0x50	13:44:06.685	-0.1582	-0.0039	0.9990	-0.4883	13.3057	-2.6245	0.1703	8.3881	-163.6963	0.0000	0	0	0	0.00000	0.00000	0.00000	0.00000 
0x50	13:44:06.704	-0.1494	-0.0093	1.0073	-0.2441	13.0005	-2.5635	0.1648	8.4540	-163.7073	0.0000	0	0	0	0.00000	0.00000	0.00000	0.00000 
0x50	13:44:06.705	-0.1470	-0.0049	1.0063	0.0000	12.6953	-2.6245	0.1648	8.5199	-163.7238	0.0000	0	0	0	0.00000	0.00000	0.00000	0.00000 
0x50	13:44:06.706	-0.1460	0.0000	1.0010	0.0000	12.5122	-2.6245	0.1593	8.5803	-163.7347	0.0000	0	0	0	0.00000	0.00000	0.00000	0.00000 
0x50	13:44:06.707	-0.1499	0.0020	0.9961	0.0000	12.1460	-2.6855	0.1593	8.6462	-163.7457	0.0000	0	0	0	0.00000	0.00000	0.00000	0.00000 
0x50	13:44:06.707	-0.1514	0.0044	0.9883	0.1831	11.6577	-2.8687	0.1593	8.7012	-163.7622	0.0000	0	0	0	0.00000	0.00000	0.00000	0.00000 
0x50	13:44:06.707	-0.1533	0.0083	0.9771	0.1221	11.0474	-3.2349	0.1538	8.7616	-163.7787	0.0000	0	0	0	0.00000	0.00000	0.00000	0.00000 
0x50	13:44:06.707	-0.1563	0.0103	0.9727	0.2441	10.4980	-3.7842	0.1538	8.8165	-163.7952	0.0000	0	0	0	0.00000	0.00000	0.00000	0.00000 
0x50	13:44:06.707	-0.1606	0.0083	0.9810	0.4272	10.0708	-4.2725	0.1538	8.8660	-163.8171	0.0000	0	0	0	0.00000	0.00000	0.00000	0.00000 
0x50	13:44:06.707	-0.1665	0.0010	0.9937	0.8545	9.7656	-4.7607	0.1538	8.9154	-163.8391	0.0000	0	0	0	0.00000	0.00000	0.00000	0.00000 
0x50	13:44:06.707	-0.1631	-0.0068	1.0049	1.2817	9.3384	-5.2490	0.1538	8.9648	-163.8666	0.0000	0	0	0	0.00000	0.00000	0.00000	0.00000 
0x50	13:44:06.707	-0.1538	-0.0093	1.0039	1.8921	8.9111	-5.7373	0.1593	9.0088	-163.8940	0.0000	0	0	0	0.00000	0.00000	0.00000	0.00000 
0x50	13:44:06.707	-0.1436	-0.0059	1.0039	2.2583	8.6670	-6.4697	0.1648	9.0527	-163.9270	0.0000	0	0	0	0.00000	0.00000	0.00000	0.00000 
0x50	13:44:06.707	-0.1387	-0.0029	0.9980	2.4414	8.6670	-7.2632	0.1703	9.0967	-163.9600	0.0000	0	0	0	0.00000	0.00000	0.00000	0.00000 
0x50	13:44:06.707	-0.1460	-0.0020	0.9941	2.7466	8.3008	-7.6904	0.1813	9.1406	-163.9984	0.0000	0	0	0	0.00000	0.00000	0.00000	0.00000 
0x50	13:44:06.710	-0.1543	-0.0024	0.9961	3.0518	7.9346	-8.1177	0.1868	9.1791	-164.0424	0.0000	0	0	0	0.00000	0.00000	0.00000	0.00000 
0x50	13:44:06.710	-0.1641	-0.0024	0.9937	3.2349	7.3242	-8.6060	0.1978	9.2175	-164.0808	0.0000	0	0	0	0.00000	0.00000	0.00000	0.00000 
0x50	13:44:06.710	-0.1670	-0.0034	0.9912	3.4790	6.6528	-9.0942	0.2087	9.2560	-164.1302	0.0000	0	0	0	0.00000	0.00000	0.00000	0.00000 
0x50	13:44:06.710	-0.1709	-0.0068	0.9878	3.9063	5.9814	-9.2163	0.2197	9.2834	-164.1742	0.0000	0	0	0	0.00000	0.00000	0.00000	0.00000 
0x50	13:44:06.710	-0.1738	-0.0107	0.9897	4.2725	5.3711	-9.2773	0.2307	9.3164	-164.2236	0.0000	0	0	0	0.00000	0.00000	0.00000	0.00000 
0x50	13:44:06.710	-0.1738	-0.0093	0.9849	4.7607	4.5776	-9.2773	0.2472	9.3384	-164.2676	0.0000	0	0	0	0.00000	0.00000	0.00000	0.00000 
0x50	13:44:06.710	-0.1680	-0.0024	0.9746	5.3101	3.7231	-9.3384	0.2637	9.3604	-164.3170	0.0000	0	0	0	0.00000	0.00000	0.00000	0.00000 
0x50	13:44:06.710	-0.1641	0.0068	0.9653	5.1270	3.1738	-9.5215	0.2856	9.3768	-164.3665	0.0000	0	0	0	0.00000	0.00000	0.00000	0.00000 
0x50	13:44:06.710	-0.1660	0.0166	0.9507	4.8828	2.3193	-9.8877	0.3021	9.3933	-164.4159	0.0000	0	0	0	0.00000	0.00000	0.00000	0.00000 
0x50	13:44:06.710	-0.1689	0.0229	0.9453	4.5166	1.7700	-10.0708	0.3186	9.4043	-164.4653	0.0000	0	0	0	0.00000	0.00000	0.00000	0.00000 
0x50	13:44:06.710	-0.1807	0.0210	0.9565	4.1504	0.9155	-10.3149	0.3296	9.4098	-164.5148	0.0000	0	0	0	0.00000	0.00000	0.00000	0.00000 
0x50	13:44:06.713	-0.1875	0.0146	0.9639	3.9673	0.0000	-10.4370	0.3406	9.4153	-164.5697	0.0000	0	0	0	0.00000	0.00000	0.00000	0.00000 
0x50	13:44:06.713	-0.1821	0.0078	0.9600	4.0283	-0.9155	-10.4980	0.3516	9.4098	-164.6246	0.0000	0	0	0	0.00000	0.00000	0.00000	0.00000 
0x50	13:44:06.713	-0.1685	0.0093	0.9478	3.9673	-1.7700	-10.8032	0.3625	9.4043	-164.6796	0.0000	0	0	0	0.00000	0.00000	0.00000	0.00000 
0x50	13:44:06.729	-0.1563	0.0161	0.9434	3.7842	-2.1362	-11.0474	0.3735	9.3933	-164.7345	0.0000	0	0	0	0.00000	0.00000	0.00000	0.00000 
0x50	13:44:06.729	-0.1626	0.0205	0.9507	3.3569	-2.2583	-11.2305	0.3845	9.3823	-164.7894	0.0000	0	0	0	0.00000	0.00000	0.00000	0.00000 
0x50	13:44:06.729	-0.1743	0.0166	0.9697	3.2959	-2.6855	-11.4746	0.3900	9.3713	-164.8499	0.0000	0	0	0	0.00000	0.00000	0.00000	0.00000 
0x50	13:44:06.734	-0.1816	0.0068	0.9922	3.2349	-3.4790	-11.8408	0.4010	9.3549	-164.9103	0.0000	0	0	0	0.00000	0.00000	0.00000	0.00000 
0x50	13:44:06.734	-0.1768	0.0029	1.0073	3.1128	-4.0894	-12.5732	0.4065	9.3384	-164.9707	0.0000	0	0	0	0.00000	0.00000	0.00000	0.00000 
0x50	13:44:06.734	-0.1597	-0.0005	1.0029	3.4180	-4.8218	-13.1226	0.4120	9.3164	-165.0366	0.0000	0	0	0	0.00000	0.00000	0.00000	0.00000 
0x50	13:44:06.735	-0.1489	-0.0010	1.0029	3.6621	-5.1270	-13.3667	0.4175	9.2889	-165.1025	0.0000	0	0	0	0.00000	0.00000	0.00000	0.00000 
0x50	13:44:06.736	-0.1455	-0.0005	1.0073	3.6621	-5.0659	-13.6108	0.4230	9.2670	-165.1740	0.0000	0	0	0	0.00000	0.00000	0.00000	0.00000 
0x50	13:44:06.860	-0.1499	-0.0024	1.0059	3.9063	-5.0659	-13.7329	0.4340	9.2395	-165.2454	0.0000	0	0	0	0.00000	0.00000	0.00000	0.00000 
0x50	13:44:06.860	-0.1543	-0.0015	1.0107	4.2725	-5.1880	-13.9160	0.4395	9.2175	-165.3168	0.0000	0	0	0	0.00000	0.00000	0.00000	0.00000 
0x50	13:44:06.887	-0.1533	0.0010	0.9985	4.3945	-5.4321	-14.4653	0.4504	9.1901	-165.3882	0.0000	0	0	0	0.00000	0.00000	0.00000	0.00000 
0x50	13:44:06.888	-0.1494	0.0034	0.9824	4.6997	-5.9814	-14.9536	0.4614	9.1626	-165.4651	0.0000	0	0	0	0.00000	0.00000	0.00000	0.00000 
0x50	13:44:06.889	-0.1465	0.0132	0.9766	4.6387	-6.3477	-15.8081	0.4779	9.1296	-165.5420	0.0000	0	0	0	0.00000	0.00000	0.00000	0.00000 
