address	Time(s)	ax(g)	ay(g)	az(g)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(°)	hx	hy	hz	q0	q1	q2	q3 
0x50	13:36:11.131	-0.0610	0.0723	0.9790	-4.0894	2.5635	4.1504	4.5593	3.1531	-163.3887	0.0000	0	0	0	0.00000	0.00000	0.00000	0.00000 
0x50	13:36:11.136	-0.0640	0.0728	0.9775	-3.7842	2.1362	4.1504	4.5374	3.1641	-163.3667	0.0000	0	0	0	0.00000	0.00000	0.00000	0.00000 
0x50	13:36:11.136	-0.0669	0.0752	0.9761	-3.6621	1.7090	4.2114	4.5209	3.1750	-163.3447	0.0000	0	0	0	0.00000	0.00000	0.00000	0.00000 
0x50	13:36:11.136	-0.0659	0.0776	0.9785	-3.7842	1.5869	4.2114	4.5044	3.1805	-163.3228	0.0000	0	0	0	0.00000	0.00000	0.00000	0.00000 
0x50	13:36:11.154	-0.0718	0.0762	0.9800	-3.8452	1.2817	4.2114	4.4879	3.1860	-163.3008	0.0000	0	0	0	0.00000	0.00000	0.00000	0.00000 
0x50	13:36:11.154	-0.0747	0.0737	0.9824	-3.9063	0.7324	4.0894	4.4659	3.1915	-163.2788	0.0000	0	0	0	0.00000	0.00000	0.00000	0.00000 
0x50	13:36:11.154	-0.0688	0.0723	0.9858	-3.4790	0.3662	4.0894	4.4495	3.1915	-163.2568	0.0000	0	0	0	0.00000	0.00000	0.00000	0.00000 
0x50	13:36:11.154	-0.0635	0.0728	0.9849	-3.2349	0.0610	4.2114	4.4330	3.1915	-163.2404	0.0000	0	0	0	0.00000	0.00000	0.00000	0.00000 
0x50	13:36:11.187	-0.0586	0.0752	0.9844	-3.1128	0.0000	4.0894	4.4220	3.1915	-163.2184	0.0000	0	0	0	0.00000	0.00000	0.00000	0.00000 
0x50	13:36:11.187	-0.0557	0.0732	0.9800	-3.1128	-0.0610	4.0283	4.4055	3.1860	-163.1964	0.0000	0	0	0	0.00000	0.00000	0.00000	0.00000 
0x50	13:36:11.187	-0.0532	0.0718	0.9790	-3.0518	-0.1831	3.9673	4.3890	3.1860	-163.1799	0.0000	0	0	0	0.00000	0.00000	0.00000	0.00000 
