Estado,RMS_Ax,Varianza_Ay,Media_Az,Energia_Axyz,Jerk_Az,EntropiaEspectral_Az,Correlacion_AxAy,Varianza_Wz,Energia_Wxyz,Sujeto
REPOSO,0.13170965115171462,0.0012776430813305618,0.983494342291372,699.72477002,0.18198300283286073,3.6522018472275466,0.46721000853226613,94.29740255985895,102393.14513461001,SUGETO5_M_ESTUDIOCOMPLETO3
SALTO,0.18572724625105494,0.012726495789473687,1.0343947368421051,21.768765339999998,9.428888888888887,1.7084368728564807,0.6346408283999836,1550.7755899632132,38046.67414660999,SUGETO5_M_ESTUDIOCOMPLETO3
SALTO,0.3932005931717147,0.004118535570934257,1.0195470588235296,20.44575912,3.344374999999998,1.6454853307379103,0.5193490306347892,30.921721768858134,40165.45465569,SUGETO5_M_ESTUDIOCOMPLETO3
SALTO,4.068544217094317,2.076337646909469,1.6035516129032257,843.2424967299999,98.49633333333333,1.9578382522930955,0.34868337054929593,163352.87168494766,6094975.45745214,SUGETO5_M_ESTUDIOCOMPLETO3
SALTO,0.2593603157853092,0.005632628447261204,1.0601553191489361,56.73633904,3.759565217391304,1.781712944213491,0.829349295830079,126.38918166817565,141878.66694544,SUGETO5_M_ESTUDIOCOMPLETO3
SALTO,2.7346351204502586,1.0107428206222222,1.9284433333333333,477.3722125500001,82.65689655172412,2.3177142114089437,-0.008724185799487078,138112.8674690272,4897581.259995239,SUGETO5_M_ESTUDIOCOMPLETO3
SALTO,0.2855332239862815,0.004359980576,1.015018,55.95167541,1.5061224489795917,1.8377166678430976,0.751996965381683,86.210519200944,100752.28010716,SUGETO5_M_ESTUDIOCOMPLETO3
SALTO,3.88237292925579,2.2185616928007343,1.6868363636363637,823.1652371800001,85.0584375,1.9289740482399247,0.3840968955552714,175420.62326331486,6706161.261598192,SUGETO5_M_ESTUDIOCOMPLETO3
SALTO,0.34717747704313673,0.002648602427910288,1.0035811320754717,60.40614368000001,1.6509615384615384,1.777341082430156,0.45655642051127787,15.552972083545745,120121.65862268998,SUGETO5_M_ESTUDIOCOMPLETO3
SALTO,3.987632857487147,4.610678088672839,1.4358944444444441,1263.2010863,171.6077142857143,2.513505339426223,0.35281187519328766,110105.16106821875,5091809.51995634,SUGETO5_M_ESTUDIOCOMPLETO3
SALTO,0.24706134953647163,0.0021814124385633273,1.0645739130434784,27.97705057,2.7013636363636366,1.6467880640436412,0.6980962914303244,83.93671437905483,11829.985768749997,SUGETO5_M_ESTUDIOCOMPLETO3
SALTO,0.2925874666382735,0.0014502299821463995,0.9930338028169011,76.51466827000002,1.4652857142857132,1.8949734309427357,0.8289243372890769,35.37008032528863,26118.139908980003,SUGETO5_M_ESTUDIOCOMPLETO3
SALTO,3.7391971805636484,1.9134908278597518,1.5412783783783783,810.70415204,71.81222222222223,2.0929150888356927,0.4812289872910152,161979.79054989183,7019990.056936639,SUGETO5_M_ESTUDIOCOMPLETO3
SALTO,0.4415335853590302,0.002747051475,0.9909799999999999,23.826327369999998,2.2431578947368407,1.7307967134387163,0.7089868947302878,56.566019752275,46723.08460709,SUGETO5_M_ESTUDIOCOMPLETO3
SALTO,3.6575874796804455,2.447193753902663,1.771130303030303,879.42105982,126.366875,2.1141201204095497,0.1875932935886729,159370.17818722938,6113104.630321771,SUGETO5_M_ESTUDIOCOMPLETO3
SALTO,0.24536797649426237,0.004623390000000001,1.1363444444444444,25.05845805,5.753529411764707,1.6145865258499765,0.4717082353273967,137.82561536348766,9654.00578323,SUGETO5_M_ESTUDIOCOMPLETO3
SALTO,4.092187871774063,2.447200708947369,1.4843842105263159,970.0983433,78.07594594594593,1.96126546389608,0.40686177420573055,77097.29689483292,3723655.87786932,SUGETO5_M_ESTUDIOCOMPLETO3
SALTO,0.41257714257024536,0.0021152339285714287,1.0596142857142856,18.59413835,7.215384615384618,1.5810670966493459,0.37906480737698683,7.9015619283673475,53879.86116828,SUGETO5_M_ESTUDIOCOMPLETO3
SALTO,4.028310649865298,2.3727988143130165,1.2845431818181818,1195.89716326,99.64837209302328,2.366030969687502,0.22530316546784993,71909.0563551458,4206281.522199839,SUGETO5_M_ESTUDIOCOMPLETO3
SALTO,0.3896517197019239,0.013578982222222223,1.0676200000000002,19.78700971,4.994285714285711,1.5239523948950962,0.8918146213932011,100.97360317795554,36588.4945876,SUGETO5_M_ESTUDIOCOMPLETO3
SALTO,4.497804561244724,2.7693679565236686,1.3622884615384616,816.00008223,128.71679999999998,2.1109059192922905,0.4428832102750531,133114.33021966976,4549346.696974291,SUGETO5_M_ESTUDIOCOMPLETO3
SALTO,0.43561567561567993,0.030800459445983374,1.079315789473684,26.783272689999997,5.03,1.519930732154558,0.9346342944942725,149.86161392952908,44188.46139846001,SUGETO5_M_ESTUDIOCOMPLETO3
SALTO,4.0993897010583,3.896031667542857,1.70464,1101.78240311,116.0441176470588,2.078973914054442,0.08257171679783605,129096.67094062737,5394203.56267214,SUGETO5_M_ESTUDIOCOMPLETO3
